   	vv0	vv1	vv2	vv3	vv4
107	0	1	2	3	4	
108	0	1	2	3	4	
109	0	1	2	3	4	
110	0	1	2	3	4	
112	0	2	4	6	8	
113	0	2	4	6	8	
114	0	2	4	6	8	
115	0	2	4	6	8	
116	0	4	8	12	16	
204	0	1	2	3	4	
205	0	1	2	3	4	
211	0	2	4	6	8	
302	0	1	2	3	4	
303	0	1	2	3	4	
306	0	2	4	6	8	
407	0	1	3	5	7	
408	0	1	3	5	7	
409	0	1	3	5	7	
410	0	1	3	5	7	
412	0	3	6	9	13	
413	0	3	6	9	13	
414	0	3	6	9	13	
415	0	3	6	9	13	
416	0	5	11	16	22	
507	0	1	2	3	5	
508	0	1	2	3	5	
509	0	1	2	3	5	
510	0	1	2	3	5	
512	0	2	4	7	9	
513	0	2	4	7	9	
514	0	2	4	7	9	
515	0	2	4	7	9	
516	0	4	9	13	18	
204	0	1	2	3	4	
205	0	1	2	3	4	
211	0	2	4	6	8	
204	0	1	2	3	4	
205	0	1	2	3	4	
211	0	2	4	6	8	
204	0	1	2	3	4	
205	0	1	2	3	4	
211	0	2	4	6	8	
204	0	1	2	3	4	
205	0	1	2	3	4	
211	0	2	4	6	8	
302	0	1	2	3	4	
303	0	1	2	3	4	
306	0	2	4	6	8	
302	0	1	2	3	4	
303	0	1	2	3	4	
306	0	2	4	6	8	
302	0	1	2	3	4	
303	0	1	2	3	4	
306	0	2	4	6	8	
